,headcount_l.csv,2014-06-29T14:36:40-07:00
"48. On a scale of 1 (not at all important) to 5 (very important), how important are white papers when you are considering a product or service from vendors in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.5544554455445545,56
"Business travel: airlines, hotels, rental cars etc.",0.56,56
Cellphone / smartphone; cellphone service,0.56,56
Credit cards,0.54,54
Employee recruiting services / temp agencies,0.5408163265306123,53
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.6122448979591837,60
Internet access providers / website hosts,0.5151515151515151,51
Local technology solution providers,0.6020408163265306,59
"Marketing services (e.g., online advertising, email / social media marketing)",0.5050505050505051,50
Office supply stores / print centers,0.5204081632653061,51
Overnight package delivery companies,0.47959183673469385,47
Payroll service providers,0.5959595959595959,59
"Phone (i.e., non-cellphone) company/ies",0.5918367346938775,58
Retirement plan providers,0.6632653061224489,65
"Social media companies (e.g., Facebook, Google , LinkedIn, Twitter)",0.5051546391752577,49
Software companies,0.6326530612244898,62
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.5979381443298969,58

"49. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to access white papers."
TopTwo
Find online via search,0.58,58
On third-party sites or newsletters,0.54,54
On vendor’s Facebook page,0.5,50
On vendor’s Google  page,0.5,50
On vendor’s LinkedIn page or group,0.5353535353535354,53
On vendor’s Twitter feed,0.5151515151515151,51
On vendor’s website,0.6262626262626263,62
On vendor’s YouTube channel,0.5257731958762887,51
Via email from vendor,0.5858585858585859,58
Via text message from vendor,0.5510204081632653,54

50. What is the best length for a white paper? (select one)
Single
Two to three pages,0.5104166666666666,49
Four to six pages,0.3854166666666667,37
More than six pages,0.10416666666666667,10

"51. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a white paper is to you."
TopTwo
"It includes or links to relevant videos, interactive elements or other information",0.5346534653465347,54
"It is focused on a business challenge I am facing, such as increasing sales or managing IT",0.7128712871287128,72
It is non-promotional,0.68,68
It provides data from a relevant survey,0.693069306930693,70
It provides examples of users who have tried the product or service,0.7171717171717171,71
It provides technical detail on the product or service I am interested in,0.73,73
It is rated highly by previous viewers,0.5714285714285714,56
It is recommended by a peer / colleague,0.7171717171717171,71
It is well-designed and easy to read,0.7171717171717171,71
It is written by a subject matter expert from the sponsoring company,0.6767676767676768,67
It is written by a third-party subject matter expert,0.6288659793814433,61

"52. In general, how important to you are webcasts when you are considering buying a new product or service for your business? (select one)"
Single
Very important,0.31683168316831684,32
Important,0.40594059405940597,41
Somewhat important,0.2079207920792079,21
Not at all important,0.06930693069306931,7

53. How often do you view webcasts when you are considering buying a new product or service for your business? (select one)
Single
Always,0.3069306930693069,31
Most of the time,0.3465346534653465,35
Sometimes,0.19801980198019803,20
Rarely,0.07920792079207921,8
Never,0.06930693069306931,7

"54. On a scale of 1 (not at all important) to 5 (very important), how important are webcasts when you are considering a product or service from vendors in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.49504950495049505,50
"Business travel: airlines, hotels, rental cars etc.",0.5544554455445545,56
Cellphone / smartphone; cellphone service,0.5445544554455446,55
Credit cards,0.54,54
Employee recruiting services / temp agencies,0.5544554455445545,56
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.5247524752475248,53
Internet access providers / website hosts,0.55,55
Local technology solution providers,0.6,60
"Marketing services (e.g., online advertising, email / social media marketing)",0.54,54
Office supply stores / print centers,0.52,52
Overnight package delivery companies,0.46464646464646464,46
Payroll service providers,0.5959595959595959,59
"Phone (i.e., non-cellphone) company/ies",0.5555555555555556,55
Retirement plan providers,0.5918367346938775,58
"Social media companies (e.g., Facebook, Google , LinkedIn, Twitter)",0.47959183673469385,47
Software companies,0.5959595959595959,59
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.5408163265306123,53

"55. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to learn about webcasts."
TopTwo
Find online via search,0.5445544554455446,55
On third-party sites or newsletters,0.5445544554455446,55
On vendor’s Facebook page,0.5148514851485149,52
On vendor’s Google  page,0.5247524752475248,53
On vendor’s LinkedIn page or group,0.5148514851485149,52
On vendor’s Twitter feed,0.49,49
On vendor’s website,0.56,56
On vendor’s YouTube channel,0.5346534653465347,54
Via email from vendor,0.594059405940594,60
Via text message from vendor,0.51,51

56. What is the best length for a webcast? (select one)
Single
No more than 15 minutes,0.3958333333333333,38
15 to 30 minutes,0.3541666666666667,34
30 to 45 minutes,0.17708333333333334,17
45 minutes to an hour,0.07291666666666667,7

"57. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a webcast is to you."
TopTwo
It features a company with the same kind of challenges I am facing,0.5841584158415841,59
It features an expert third-party presenter,0.6138613861386139,62
It features a senior executive from the sponsoring company,0.5858585858585859,58
It features a company in my industry,0.6435643564356436,65
It focuses on a product or service I am interested in,0.693069306930693,70
"It focused on a business challenge I am facing, such as increasing sales or managing IT",0.7326732673267327,74
It is non-promotional,0.6336633663366337,64
It is rated highly by previous viewers,0.6831683168316832,69
It is recommended by a peer / colleague,0.66,66

"58. On a scale of 1 (strongly disagree) to 5 (strongly agree), please rate each of these statements about buying technology solutions, such as hardware or software."
TopTwo
"I prefer to buy directly from a technology vendor, as opposed to a distributor or reseller (such as a technology consultant)",0.64,64
"I am more likely to respond to a call, email or mailing from a technology vendor than from a distributor or reseller",0.63,63
Buying from a distributor or reseller makes the sales process take longer,0.5742574257425742,58
Buying from a distributor or reseller increases the total solution cost,0.6224489795918368,61
Buying from a distributor or reseller gets me a solution that is better tailored to my needs than I would get if I bought directly from a vendor,0.6039603960396039,61
Buying from a distributor or reseller negatively affects my perception of the vendor’s brand,0.5643564356435643,57
"There are technology solutions, such as cloud-based applications, that I would prefer to buy directly from a vendor",0.6237623762376238,63

"59.1 Please indicate which technology solutions you would prefer to buy directly from a vendor, and which you would prefer to buy from a distributor or reseller.::Cloud-based applications / services"
Subquestion
From vendor,0.6938775510204082,68
From a reseller,0.30612244897959184,30

"59.2 Please indicate which technology solutions you...::Networking equipment (e.g., switches, hubs)"
Subquestion
From vendor,0.673469387755102,66
From a reseller,0.32653061224489793,32

59.3 Please indicate which technology solutions you...::Phone systems
Subquestion
From vendor,0.6804123711340206,66
From a reseller,0.31958762886597936,31

59.4 Please indicate which technology solutions you...::PCs / laptops / workstations
Subquestion
From vendor,0.6530612244897959,64
From a reseller,0.3469387755102041,34

59.5 Please indicate which technology solutions you...::Printers
Subquestion
From vendor,0.5612244897959183,55
From a reseller,0.4387755102040816,43

59.6 Please indicate which technology solutions you...::Security solutions
Subquestion
From vendor,0.6129032258064516,57
From a reseller,0.3870967741935484,36

59.7 Please indicate which technology solutions you...::Servers / storage
Subquestion
From vendor,0.6979166666666666,67
From a reseller,0.3020833333333333,29

59.8 Please indicate which technology solutions you...::Tablets
Subquestion
From vendor,0.6276595744680851,59
From a reseller,0.3723404255319149,35

"61. On a scale of 1 (very unfavorable) to 5 (very favorable), how do you feel about each of these brands?"
TopTwo
American Express OPEN,0.5454545454545454,54
Apple,0.6363636363636364,63
AT&T,0.5555555555555556,55
Bank of America,0.5353535353535354,53
Cablevision,0.45454545454545453,45
Capital One,0.5252525252525253,52
CenturyLink,0.5151515151515151,51
Charles Schwab,0.6020408163265306,59
Charter Communications,0.46,46
Chase Bank,0.5757575757575758,57
Cisco,0.5979381443298969,58
Citibank,0.5,50
Comcast,0.4444444444444444,44
Cox,0.41836734693877553,41
Dell,0.65,65
Facebook,0.4897959183673469,48
FedEx,0.67,67
Fidelity Investments,0.5510204081632653,54
Google,0.6326530612244898,62
HP,0.5979381443298969,58
IBM,0.6041666666666666,58
Intuit,0.5102040816326531,50
Lenovo,0.5154639175257731,50
LinkedIn,0.5612244897959183,55
Microsoft,0.6597938144329897,64
Office Depot,0.5555555555555556,55
OfficeMax,0.5567010309278351,54
Oracle,0.5918367346938775,58
Salesforce.com,0.5050505050505051,50
Sam’s Club,0.5555555555555556,55
Sony,0.54,54
Sprint,0.5151515151515151,51
Staples,0.5816326530612245,57
Symantec,0.5773195876288659,56
Twitter,0.5204081632653061,51
UPS,0.625,60
U.S. Bank,0.5656565656565656,56
Verizon,0.5979381443298969,58
Wells Fargo,0.5257731958762887,51

