,!alldata.csv,2014-06-29T14:36:39-07:00
On vendor’s Facebook page,0.2923076923076923,152
On vendor’s Google page,0.2925430210325048,153
On vendor’s LinkedIn page or group,0.29904761904761906,157
On vendor’s Twitter feed,0.26346153846153847,137
On vendor’s website,0.6180422264875239,322
On vendor’s YouTube channel,0.3570057581573896,186
Via email from vendor,0.49230769230769234,256
Via text message from vendor,0.32821497120921306,171

44. What is the best length for a written (print or PDF) customer story or case study? (select one)
Single
One page,0.41088180112570355,219
Two pages,0.3902439024390244,208
Three or four pages,0.15196998123827393,81
More than four pages,0.04690431519699812,25

45. What is the best length for a video customer story or case study? (select one)
Single
Less than two minutes,0.24813432835820895,133
Two or three minutes,0.417910447761194,224
Four or five minutes,0.2555970149253731,137
More than five minutes,0.07835820895522388,42

"46. In general, how important to you are white papers when you are considering buying a new product or service for your business? (select one)"
Single
Very important,0.22180451127819548,118
Important,0.32142857142857145,171
Somewhat important,0.2951127819548872,157
Not at all important,0.16165413533834586,86

47. How often do you read white papers when you are considering buying a new product or service for your business? (select one)
Single
Always,0.19245283018867926,102
Most of the time,0.3018867924528302,160
Sometimes,0.29245283018867924,155
Rarely,0.13584905660377358,72
Never,0.07735849056603773,41

"48. On a scale of 1 (not at all important) to 5 (very important), how important are white papers when you are considering a product or service from vendors in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.40458015267175573,212
"Business travel: airlines, hotels, rental cars etc.",0.367112810707457,192
Cellphone / smartphone; cellphone service,0.36,189
Credit cards,0.3793103448275862,198
Employee recruiting services / temp agencies,0.3524904214559387,184
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.42277992277992277,219
Internet access providers / website hosts,0.37764932562620424,196
Local technology solution providers,0.3945841392649903,204
"Marketing services (e.g., online advertising, email / social media marketing)",0.36608863198458574,190
Office supply stores / print centers,0.33911368015414256,176
Overnight package delivery companies,0.32625482625482627,169
Payroll service providers,0.37884615384615383,197
"Phone (i.e., non-cellphone) company/ies",0.36750483558994196,190
Retirement plan providers,0.4321705426356589,223
"Social media companies (e.g., Facebook, Google, LinkedIn, Twitter)",0.28488372093023256,147
Software companies,0.42940038684719534,222
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.4500978473581213,230

"49. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to access white papers."
TopTwo
Find online via search,0.5544933078393881,290
On third-party sites or newsletters,0.36730769230769234,191
On vendor’s Facebook page,0.28489483747609945,149
On vendor’s Google page,0.2729007633587786,143
On vendor’s LinkedIn page or group,0.2832369942196532,147
On vendor’s Twitter feed,0.24806201550387597,128
On vendor’s website,0.5421455938697318,283
On vendor’s YouTube channel,0.3067961165048544,158
Via email from vendor,0.4728682170542636,244
Via text message from vendor,0.32688588007736946,169

50. What is the best length for a white paper? (select one)
Single
Two to three pages,0.6988416988416989,362
Four to six pages,0.25675675675675674,133
More than six pages,0.0444015444015444,23

"51. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a white paper is to you."
TopTwo
"It includes or links to relevant videos, interactive elements or other information",0.4524714828897338,238
"It is focused on a business challenge I am facing, such as increasing sales or managing IT",0.5782442748091603,303
It is non-promotional,0.539047619047619,283
It provides data from a relevant survey,0.601145038167939,315
It provides examples of users who have tried the product or service,0.5873320537428023,306
It provides technical detail on the product or service I am interested in,0.6057692307692307,315
It is rated highly by previous viewers,0.4728682170542636,244
It is recommended by a peer / colleague,0.5934489402697495,308
It is well-designed and easy to read,0.65,338
It is written by a subject matter expert from the sponsoring company,0.5009671179883946,259
It is written by a third-party subject matter expert,0.4843137254901961,247

"52. In general, how important to you are webcasts when you are considering buying a new product or service for your business? (select one)"
Single
Very important,0.2049335863377609,108
Important,0.25806451612903225,136
Somewhat important,0.2618595825426945,138
Not at all important,0.27514231499051234,145

53. How often do you view webcasts when you are considering buying a new product or service for your business? (select one)
Single
Always,0.16037735849056603,85
Most of the time,0.23962264150943396,127
Sometimes,0.25471698113207547,135
Rarely,0.18679245283018867,99
Never,0.15849056603773584,84

"54. On a scale of 1 (not at all important) to 5 (very important), how important are webcasts when you are considering a product or service from vendors in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.31992337164750956,167
"Business travel: airlines, hotels, rental cars etc.",0.3416506717850288,178
Cellphone / smartphone; cellphone service,0.35372848948374763,185
Credit cards,0.32053742802303264,167
Employee recruiting services / temp agencies,0.32950191570881227,172
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.32884615384615384,171
Internet access providers / website hosts,0.3520309477756286,182
Local technology solution providers,0.3742690058479532,192
"Marketing services (e.g., online advertising, email / social media marketing)",0.35260115606936415,183
Office supply stores / print centers,0.3217726396917148,167
Overnight package delivery companies,0.3044315992292871,158
Payroll service providers,0.3166023166023166,164
"Phone (i.e., non-cellphone) company/ies",0.3236434108527132,167
Retirement plan providers,0.3521400778210117,181
"Social media companies (e.g., Facebook, Google, LinkedIn, Twitter)",0.2655038759689923,137
Software companies,0.3715953307392996,191
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.3953488372093023,204

"55. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to learn about webcasts."
TopTwo
Find online via search,0.5076045627376425,267
On third-party sites or newsletters,0.35892514395393477,187
On vendor’s Facebook page,0.27724665391969405,145
On vendor’s Google  page,0.26095238095238094,137
On vendor’s LinkedIn page or group,0.2732447817836812,144
On vendor’s Twitter feed,0.24045801526717558,126
On vendor’s website,0.4932821497120921,257
On vendor’s YouTube channel,0.3320610687022901,174
Via email from vendor,0.44145873320537427,230
Via text message from vendor,0.29206963249516443,151

56. What is the best length for a webcast? (select one)
Single
No more than 15 minutes,0.5855513307984791,308
15 to 30 minutes,0.30038022813688214,158
30 to 45 minutes,0.08365019011406843,44
45 minutes to an hour,0.030418250950570342,16

"57. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a webcast is to you."
TopTwo
It features a company with the same kind of challenges I am facing,0.5736137667304015,300
It features an expert third-party presenter,0.47338403041825095,249
It features a senior executive from the sponsoring company,0.4173076923076923,217
It features a company in my industry,0.5525812619502868,289
It focuses on a product or service I am interested in,0.6673040152963671,349
"It focused on a business challenge I am facing, such as increasing sales or managing IT",0.5942307692307692,309
It is non-promotional,0.5393474088291746,281
It is rated highly by previous viewers,0.4894433781190019,255
It is recommended by a peer / colleague,0.6027131782945736,311

"58. On a scale of 1 (strongly disagree) to 5 (strongly agree), please rate each of these statements about buying technology solutions, such as hardware or software."
TopTwo
"I prefer to buy directly from a technology vendor, as opposed to a distributor or reseller (such as a technology consultant)",0.5831739961759083,305
"I am more likely to respond to a call, email or mailing from a technology vendor than from a distributor or reseller",0.4875717017208413,255
Buying from a distributor or reseller makes the sales process take longer,0.4217557251908397,221
Buying from a distributor or reseller increases the total solution cost,0.5365384615384615,279
Buying from a distributor or reseller gets me a solution that is better tailored to my needs than I would get if I bought directly from a vendor,0.4038095238095238,212
Buying from a distributor or reseller negatively affects my perception of the vendor’s brand,0.3065134099616858,160
"There are technology solutions, such as cloud-based applications, that I would prefer to buy directly from a vendor",0.5,259

"59.1 Please indicate which technology solutions you would prefer to buy directly from a vendor, and which you would prefer to buy from a distributor or reseller.::Cloud-based applications / services"
Subquestion
From vendor,0.837890625,429
From a reseller,0.162109375,83

"59.2 Please indicate which technology solutions you...::Networking equipment (e.g., switches, hubs)"
Subquestion
From vendor,0.6888454011741683,352
From a reseller,0.3111545988258317,159

59.3 Please indicate which technology solutions you...::Phone systems
Subquestion
From vendor,0.6994106090373281,356
From a reseller,0.3005893909626719,153

59.4 Please indicate which technology solutions you...::PCs / laptops / workstations
Subquestion
From vendor,0.6731898238747553,344
From a reseller,0.3268101761252446,167

59.5 Please indicate which technology solutions you...::Printers
Subquestion
From vendor,0.6232741617357002,316
From a reseller,0.3767258382642998,191

59.6 Please indicate which technology solutions you...::Security solutions
Subquestion
From vendor,0.7529644268774703,381
From a reseller,0.24703557312252963,125

59.7 Please indicate which technology solutions you...::Servers / storage
Subquestion
From vendor,0.7603960396039604,384
From a reseller,0.2396039603960396,121

59.8 Please indicate which technology solutions you...::Tablets
Subquestion
From vendor,0.6365461847389559,317
From a reseller,0.3634538152610442,181

"61. On a scale of 1 (very unfavorable) to 5 (very favorable), how do you feel about each of these brands?"
TopTwo
American Express OPEN,0.4629981024667932,244
Apple,0.6596958174904943,347
AT&T,0.5057251908396947,265
Bank of America,0.37667304015296366,197
Cablevision,0.26436781609195403,138
Capital One,0.41523809523809524,218
CenturyLink,0.2638623326959847,138
Charles Schwab,0.4575289575289575,237
Charter Communications,0.26436781609195403,138
Chase Bank,0.5076923076923077,264
Cisco,0.5029126213592233,259
Citibank,0.41811175337186895,217
Comcast,0.34099616858237547,178
Cox,0.2466281310211946,128
Dell,0.5391969407265774,282
Facebook,0.43953934740882916,229
FedEx,0.6723809523809524,353
Fidelity Investments,0.475,247
Google,0.6146435452793835,319
HP,0.6211538461538462,323
IBM,0.5642023346303502,290
Intuit,0.5019305019305019,260
Lenovo,0.3825242718446602,197
LinkedIn,0.39615384615384613,206
Microsoft,0.6660268714011516,347
Office Depot,0.5442307692307692,283
OfficeMax,0.5106382978723404,264
Oracle,0.4649805447470817,239
Salesforce.com,0.305019305019305,158
Sam’s Club,0.4596153846153846,239
Sony,0.6218809980806143,324
Sprint,0.38684719535783363,200
Staples,0.5366795366795367,278
Symantec,0.4140625,212
Twitter,0.3288201160541586,170
UPS,0.6446601941747573,332
U.S. Bank,0.3735408560311284,192
Verizon,0.5428015564202334,279
Wells Fargo,0.4524271844660194,233

