,age_o.csv,2014-06-29T14:36:40-07:00
On vendor’s Twitter feed,0.0881057268722467,20
On vendor’s website,0.5288888888888889,119
On vendor’s YouTube channel,0.19298245614035087,44
Via email from vendor,0.4177777777777778,94
Via text message from vendor,0.1894273127753304,43

44. What is the best length for a written (print or PDF) customer story or case study? (select one)
Single
One page,0.4826086956521739,111
Two pages,0.3739130434782609,86
Three or four pages,0.12173913043478261,28
More than four pages,0.021739130434782608,5

45. What is the best length for a video customer story or case study? (select one)
Single
Less than two minutes,0.2727272727272727,63
Two or three minutes,0.45021645021645024,104
Four or five minutes,0.23809523809523808,55
More than five minutes,0.03896103896103896,9

"46. In general, how important to you are white papers when you are considering buying a new product or service for your business? (select one)"
Single
Very important,0.10526315789473684,24
Important,0.3157894736842105,72
Somewhat important,0.33771929824561403,77
Not at all important,0.2412280701754386,55

47. How often do you read white papers when you are considering buying a new product or service for your business? (select one)
Single
Always,0.10043668122270742,23
Most of the time,0.2576419213973799,59
Sometimes,0.34497816593886466,79
Rarely,0.1703056768558952,39
Never,0.12663755458515283,29

"48. On a scale of 1 (not at all important) to 5 (very important), how important are white papers when you are considering a product or service from vendors in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.28761061946902655,65
"Business travel: airlines, hotels, rental cars etc.",0.24778761061946902,56
Cellphone / smartphone; cellphone service,0.2687224669603524,61
Credit cards,0.2555066079295154,58
Employee recruiting services / temp agencies,0.21145374449339208,48
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.2920353982300885,66
Internet access providers / website hosts,0.27876106194690264,63
Local technology solution providers,0.2907488986784141,66
"Marketing services (e.g., online advertising, email / social media marketing)",0.2511013215859031,57
Office supply stores / print centers,0.2168141592920354,49
Overnight package delivery companies,0.19555555555555557,44
Payroll service providers,0.25663716814159293,58
"Phone (i.e., non-cellphone) company/ies",0.24,54
Retirement plan providers,0.3008849557522124,68
"Social media companies (e.g., Facebook, Google , LinkedIn, Twitter)",0.14096916299559473,32
Software companies,0.31277533039647576,71
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.3377777777777778,76

"49. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to access white papers."
TopTwo
Find online via search,0.48,108
On third-party sites or newsletters,0.24107142857142858,54
On vendor’s Facebook page,0.1288888888888889,29
On vendor’s Google  page,0.11504424778761062,26
On vendor’s LinkedIn page or group,0.1210762331838565,27
On vendor’s Twitter feed,0.08482142857142858,19
On vendor’s website,0.4713656387665198,107
On vendor’s YouTube channel,0.17040358744394618,38
Via email from vendor,0.3938053097345133,89
Via text message from vendor,0.18666666666666668,42

50. What is the best length for a white paper? (select one)
Single
Two to three pages,0.8258928571428571,185
Four to six pages,0.16517857142857142,37
More than six pages,0.008928571428571428,2

"51. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a white paper is to you."
TopTwo
"It includes or links to relevant videos, interactive elements or other information",0.3700440528634361,84
"It is focused on a business challenge I am facing, such as increasing sales or managing IT",0.5132743362831859,116
It is non-promotional,0.5263157894736842,120
It provides data from a relevant survey,0.5198237885462555,118
It provides examples of users who have tried the product or service,0.5330396475770925,121
It provides technical detail on the product or service I am interested in,0.5506607929515418,125
It is rated highly by previous viewers,0.38495575221238937,87
It is recommended by a peer / colleague,0.5614035087719298,128
It is well-designed and easy to read,0.6299559471365639,143
It is written by a subject matter expert from the sponsoring company,0.4424778761061947,100
It is written by a third-party subject matter expert,0.4189189189189189,93

"52. In general, how important to you are webcasts when you are considering buying a new product or service for your business? (select one)"
Single
Very important,0.11160714285714286,25
Important,0.1875,42
Somewhat important,0.3392857142857143,76
Not at all important,0.36160714285714285,81

53. How often do you view webcasts when you are considering buying a new product or service for your business? (select one)
Single
Always,0.06140350877192982,14
Most of the time,0.16666666666666666,38
Sometimes,0.3157894736842105,72
Rarely,0.2719298245614035,62
Never,0.18421052631578946,42

"54. On a scale of 1 (not at all important) to 5 (very important), how important are webcasts when you are considering a product or service from vendors in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.18303571428571427,41
"Business travel: airlines, hotels, rental cars etc.",0.2168141592920354,49
Cellphone / smartphone; cellphone service,0.25,57
Credit cards,0.2,45
Employee recruiting services / temp agencies,0.18502202643171806,42
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.2149122807017544,49
Internet access providers / website hosts,0.25663716814159293,58
Local technology solution providers,0.24663677130044842,55
"Marketing services (e.g., online advertising, email / social media marketing)",0.20614035087719298,47
Office supply stores / print centers,0.19736842105263158,45
Overnight package delivery companies,0.17180616740088106,39
Payroll service providers,0.18061674008810572,41
"Phone (i.e., non-cellphone) company/ies",0.20444444444444446,46
Retirement plan providers,0.24107142857142858,54
"Social media companies (e.g., Facebook, Google , LinkedIn, Twitter)",0.12389380530973451,28
Software companies,0.26339285714285715,59
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.29777777777777775,67

"55. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to learn about webcasts."
TopTwo
Find online via search,0.4166666666666667,95
On third-party sites or newsletters,0.23660714285714285,53
On vendor’s Facebook page,0.1145374449339207,26
On vendor’s Google  page,0.11403508771929824,26
On vendor’s LinkedIn page or group,0.1277533039647577,29
On vendor’s Twitter feed,0.09170305676855896,21
On vendor’s website,0.41409691629955947,94
On vendor’s YouTube channel,0.16666666666666666,38
Via email from vendor,0.37280701754385964,85
Via text message from vendor,0.14732142857142858,33

56. What is the best length for a webcast? (select one)
Single
No more than 15 minutes,0.7105263157894737,162
15 to 30 minutes,0.24561403508771928,56
30 to 45 minutes,0.02631578947368421,6
45 minutes to an hour,0.017543859649122806,4

"57. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a webcast is to you."
TopTwo
It features a company with the same kind of challenges I am facing,0.5350877192982456,122
It features an expert third-party presenter,0.4148471615720524,95
It features a senior executive from the sponsoring company,0.3185840707964602,72
It features a company in my industry,0.49122807017543857,112
It focuses on a product or service I am interested in,0.6387665198237885,145
"It focused on a business challenge I am facing, such as increasing sales or managing IT",0.5263157894736842,120
It is non-promotional,0.4977973568281938,113
It is rated highly by previous viewers,0.36403508771929827,83
It is recommended by a peer / colleague,0.5644444444444444,127

"58. On a scale of 1 (strongly disagree) to 5 (strongly agree), please rate each of these statements about buying technology solutions, such as hardware or software."
TopTwo
"I prefer to buy directly from a technology vendor, as opposed to a distributor or reseller (such as a technology consultant)",0.5198237885462555,118
"I am more likely to respond to a call, email or mailing from a technology vendor than from a distributor or reseller",0.42543859649122806,97
Buying from a distributor or reseller makes the sales process take longer,0.33771929824561403,77
Buying from a distributor or reseller increases the total solution cost,0.4605263157894737,105
Buying from a distributor or reseller gets me a solution that is better tailored to my needs than I would get if I bought directly from a vendor,0.30131004366812225,69
Buying from a distributor or reseller negatively affects my perception of the vendor’s brand,0.15217391304347827,35
"There are technology solutions, such as cloud-based applications, that I would prefer to buy directly from a vendor",0.3832599118942731,87

"59.1 Please indicate which technology solutions you would prefer to buy directly from a vendor, and which you would prefer to buy from a distributor or reseller.::Cloud-based applications / services"
Subquestion
From vendor,0.8552036199095022,189
From a reseller,0.14479638009049775,32

"59.2 Please indicate which technology solutions you...::Networking equipment (e.g., switches, hubs)"
Subquestion
From vendor,0.7363636363636363,162
From a reseller,0.2636363636363636,58

59.3 Please indicate which technology solutions you...::Phone systems
Subquestion
From vendor,0.7342342342342343,163
From a reseller,0.26576576576576577,59

59.4 Please indicate which technology solutions you...::PCs / laptops / workstations
Subquestion
From vendor,0.7085201793721974,158
From a reseller,0.2914798206278027,65

59.5 Please indicate which technology solutions you...::Printers
Subquestion
From vendor,0.6545454545454545,144
From a reseller,0.34545454545454546,76

59.6 Please indicate which technology solutions you...::Security solutions
Subquestion
From vendor,0.8026905829596412,179
From a reseller,0.19730941704035873,44

59.7 Please indicate which technology solutions you...::Servers / storage
Subquestion
From vendor,0.7737556561085973,171
From a reseller,0.22624434389140272,50

59.8 Please indicate which technology solutions you...::Tablets
Subquestion
From vendor,0.6388888888888888,138
From a reseller,0.3611111111111111,78

"61. On a scale of 1 (very unfavorable) to 5 (very favorable), how do you feel about each of these brands?"
TopTwo
American Express OPEN,0.391304347826087,90
Apple,0.6304347826086957,145
AT&T,0.4585152838427948,105
Bank of America,0.22807017543859648,52
Cablevision,0.14035087719298245,32
Capital One,0.329004329004329,76
CenturyLink,0.13852813852813853,32
Charles Schwab,0.3788546255506608,86
Charter Communications,0.13478260869565217,31
Chase Bank,0.4279475982532751,98
Cisco,0.42920353982300885,97
Citibank,0.2838427947598253,65
Comcast,0.23580786026200873,54
Cox,0.11790393013100436,27
Dell,0.508695652173913,117
Facebook,0.29694323144104806,68
FedEx,0.6434782608695652,148
Fidelity Investments,0.4434782608695652,102
Google,0.5701754385964912,130
HP,0.6069868995633187,139
IBM,0.5859030837004405,133
Intuit,0.47391304347826085,109
Lenovo,0.2920353982300885,66
LinkedIn,0.29385964912280704,67
Microsoft,0.6608695652173913,152
Office Depot,0.504424778761062,114
OfficeMax,0.43171806167400884,98
Oracle,0.38565022421524664,86
Salesforce.com,0.1762114537444934,40
Sam’s Club,0.3695652173913043,85
Sony,0.5930735930735931,137
Sprint,0.29694323144104806,68
Staples,0.508695652173913,117
Symantec,0.33771929824561403,77
Twitter,0.1965065502183406,45
UPS,0.6387665198237885,145
U.S. Bank,0.2907488986784141,66
Verizon,0.4410480349344978,101
Wells Fargo,0.35964912280701755,82

