,age_m.csv,2014-06-29T14:36:40-07:00
44. What is the best length for a written (print or PDF) customer story or case study? (select one)
Single
One page,0.3867403314917127,70
Two pages,0.39779005524861877,72
Three or four pages,0.15469613259668508,28
More than four pages,0.06077348066298342,11

45. What is the best length for a video customer story or case study? (select one)
Single
Less than two minutes,0.20218579234972678,37
Two or three minutes,0.4098360655737705,75
Four or five minutes,0.2568306010928962,47
More than five minutes,0.13114754098360656,24

"46. In general, how important to you are white papers when you are considering buying a new product or service for your business? (select one)"
Single
Very important,0.24175824175824176,44
Important,0.3241758241758242,59
Somewhat important,0.31868131868131866,58
Not at all important,0.11538461538461539,21

47. How often do you read white papers when you are considering buying a new product or service for your business? (select one)
Single
Always,0.16759776536312848,30
Most of the time,0.35195530726256985,63
Sometimes,0.3016759776536313,54
Rarely,0.1340782122905028,24
Never,0.0446927374301676,8

"48. On a scale of 1 (not at all important) to 5 (very important), how important are white papers when you are considering a product or service from vendors in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.43333333333333335,78
"Business travel: airlines, hotels, rental cars etc.",0.3854748603351955,69
Cellphone / smartphone; cellphone service,0.38333333333333336,69
Credit cards,0.4134078212290503,74
Employee recruiting services / temp agencies,0.40782122905027934,73
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.4748603351955307,85
Internet access providers / website hosts,0.4134078212290503,74
Local technology solution providers,0.4406779661016949,78
"Marketing services (e.g., online advertising, email / social media marketing)",0.398876404494382,71
Office supply stores / print centers,0.36312849162011174,65
Overnight package delivery companies,0.3539325842696629,63
Payroll service providers,0.4022346368715084,72
"Phone (i.e., non-cellphone) company/ies",0.39325842696629215,70
Retirement plan providers,0.4772727272727273,84
"Social media companies (e.g., Facebook, Google , LinkedIn, Twitter)",0.3125,55
Software companies,0.4632768361581921,82
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.4943181818181818,87

"49. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to access white papers."
TopTwo
Find online via search,0.5777777777777777,104
On third-party sites or newsletters,0.4157303370786517,74
On vendor’s Facebook page,0.3333333333333333,60
On vendor’s Google  page,0.29444444444444445,53
On vendor’s LinkedIn page or group,0.31843575418994413,57
On vendor’s Twitter feed,0.2696629213483146,48
On vendor’s website,0.55,99
On vendor’s YouTube channel,0.3463687150837989,62
Via email from vendor,0.4858757062146893,86
Via text message from vendor,0.34269662921348315,61

50. What is the best length for a white paper? (select one)
Single
Two to three pages,0.6292134831460674,112
Four to six pages,0.30337078651685395,54
More than six pages,0.06741573033707865,12

"51. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a white paper is to you."
TopTwo
"It includes or links to relevant videos, interactive elements or other information",0.5166666666666667,93
"It is focused on a business challenge I am facing, such as increasing sales or managing IT",0.6166666666666667,111
It is non-promotional,0.5388888888888889,97
It provides data from a relevant survey,0.6480446927374302,116
It provides examples of users who have tried the product or service,0.6101694915254238,108
It provides technical detail on the product or service I am interested in,0.6033519553072626,108
It is rated highly by previous viewers,0.47191011235955055,84
It is recommended by a peer / colleague,0.5730337078651685,102
It is well-designed and easy to read,0.664804469273743,119
It is written by a subject matter expert from the sponsoring company,0.5141242937853108,91
It is written by a third-party subject matter expert,0.4885057471264368,85

"52. In general, how important to you are webcasts when you are considering buying a new product or service for your business? (select one)"
Single
Very important,0.2032967032967033,37
Important,0.3021978021978022,55
Somewhat important,0.24175824175824176,44
Not at all important,0.25274725274725274,46

53. How often do you view webcasts when you are considering buying a new product or service for your business? (select one)
Single
Always,0.1712707182320442,31
Most of the time,0.281767955801105,51
Sometimes,0.2430939226519337,44
Rarely,0.12154696132596685,22
Never,0.18232044198895028,33

"54. On a scale of 1 (not at all important) to 5 (very important), how important are webcasts when you are considering a product or service from vendors in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.3888888888888889,70
"Business travel: airlines, hotels, rental cars etc.",0.38202247191011235,68
Cellphone / smartphone; cellphone service,0.3854748603351955,69
Credit cards,0.34444444444444444,62
Employee recruiting services / temp agencies,0.3707865168539326,66
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.3463687150837989,62
Internet access providers / website hosts,0.3539325842696629,63
Local technology solution providers,0.4293785310734463,76
"Marketing services (e.g., online advertising, email / social media marketing)",0.43820224719101125,78
Office supply stores / print centers,0.33519553072625696,60
Overnight package delivery companies,0.3240223463687151,58
Payroll service providers,0.3258426966292135,58
"Phone (i.e., non-cellphone) company/ies",0.3707865168539326,66
Retirement plan providers,0.3954802259887006,70
"Social media companies (e.g., Facebook, Google , LinkedIn, Twitter)",0.2994350282485876,53
Software companies,0.4124293785310734,73
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.4157303370786517,74

"55. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to learn about webcasts."
TopTwo
Find online via search,0.5303867403314917,96
On third-party sites or newsletters,0.4134078212290503,74
On vendor’s Facebook page,0.33519553072625696,60
On vendor’s Google  page,0.2737430167597765,49
On vendor’s LinkedIn page or group,0.27624309392265195,50
On vendor’s Twitter feed,0.22099447513812154,40
On vendor’s website,0.4972067039106145,89
On vendor’s YouTube channel,0.3812154696132597,69
Via email from vendor,0.42696629213483145,76
Via text message from vendor,0.3146067415730337,56

56. What is the best length for a webcast? (select one)
Single
No more than 15 minutes,0.5649717514124294,100
15 to 30 minutes,0.3220338983050847,57
30 to 45 minutes,0.06779661016949153,12
45 minutes to an hour,0.04519774011299435,8

"57. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a webcast is to you."
TopTwo
It features a company with the same kind of challenges I am facing,0.5842696629213483,104
It features an expert third-party presenter,0.5,90
It features a senior executive from the sponsoring company,0.4318181818181818,76
It features a company in my industry,0.5363128491620112,96
It focuses on a product or service I am interested in,0.664804469273743,119
"It focused on a business challenge I am facing, such as increasing sales or managing IT",0.6235955056179775,111
It is non-promotional,0.5055555555555555,91
It is rated highly by previous viewers,0.5195530726256983,93
It is recommended by a peer / colleague,0.5932203389830508,105

"58. On a scale of 1 (strongly disagree) to 5 (strongly agree), please rate each of these statements about buying technology solutions, such as hardware or software."
TopTwo
"I prefer to buy directly from a technology vendor, as opposed to a distributor or reseller (such as a technology consultant)",0.6368715083798883,114
"I am more likely to respond to a call, email or mailing from a technology vendor than from a distributor or reseller",0.5310734463276836,94
Buying from a distributor or reseller makes the sales process take longer,0.43575418994413406,78
Buying from a distributor or reseller increases the total solution cost,0.5371428571428571,94
Buying from a distributor or reseller gets me a solution that is better tailored to my needs than I would get if I bought directly from a vendor,0.39106145251396646,70
Buying from a distributor or reseller negatively affects my perception of the vendor’s brand,0.33707865168539325,60
"There are technology solutions, such as cloud-based applications, that I would prefer to buy directly from a vendor",0.559322033898305,99

"59.1 Please indicate which technology solutions you would prefer to buy directly from a vendor, and which you would prefer to buy from a distributor or reseller.::Cloud-based applications / services"
Subquestion
From vendor,0.8465909090909091,149
From a reseller,0.1534090909090909,27

"59.2 Please indicate which technology solutions you...::Networking equipment (e.g., switches, hubs)"
Subquestion
From vendor,0.6971428571428572,122
From a reseller,0.3028571428571429,53

59.3 Please indicate which technology solutions you...::Phone systems
Subquestion
From vendor,0.6820809248554913,118
From a reseller,0.3179190751445087,55

59.4 Please indicate which technology solutions you...::PCs / laptops / workstations
Subquestion
From vendor,0.6839080459770115,119
From a reseller,0.3160919540229885,55

59.5 Please indicate which technology solutions you...::Printers
Subquestion
From vendor,0.6091954022988506,106
From a reseller,0.39080459770114945,68

59.6 Please indicate which technology solutions you...::Security solutions
Subquestion
From vendor,0.7630057803468208,132
From a reseller,0.23699421965317918,41

59.7 Please indicate which technology solutions you...::Servers / storage
Subquestion
From vendor,0.7701149425287356,134
From a reseller,0.22988505747126436,40

59.8 Please indicate which technology solutions you...::Tablets
Subquestion
From vendor,0.627906976744186,108
From a reseller,0.37209302325581395,64

"61. On a scale of 1 (very unfavorable) to 5 (very favorable), how do you feel about each of these brands?"
TopTwo
American Express OPEN,0.49444444444444446,89
Apple,0.6871508379888268,123
AT&T,0.5,89
Bank of America,0.4,72
Cablevision,0.2824858757062147,50
Capital One,0.4519774011299435,80
CenturyLink,0.2696629213483146,48
Charles Schwab,0.4887640449438202,87
Charter Communications,0.2905027932960894,52
Chase Bank,0.4971751412429379,88
Cisco,0.5511363636363636,97
Citibank,0.4745762711864407,84
Comcast,0.34444444444444444,62
Cox,0.2696629213483146,48
Dell,0.5337078651685393,95
Facebook,0.5056179775280899,90
FedEx,0.6795580110497238,123
Fidelity Investments,0.4519774011299435,80
Google,0.6384180790960452,113
HP,0.6348314606741573,113
IBM,0.5340909090909091,94
Intuit,0.5113636363636364,90
Lenovo,0.4090909090909091,72
LinkedIn,0.449438202247191,80
Microsoft,0.6836158192090396,121
Office Depot,0.5363128491620112,96
OfficeMax,0.5113636363636364,90
Oracle,0.4858757062146893,86
Salesforce.com,0.3333333333333333,59
Sam’s Club,0.5028248587570622,89
Sony,0.6348314606741573,113
Sprint,0.38857142857142857,68
Staples,0.5340909090909091,94
Symantec,0.4161849710982659,72
Twitter,0.3559322033898305,63
UPS,0.6590909090909091,116
U.S. Bank,0.37714285714285717,66
Verizon,0.6114285714285714,107
Wells Fargo,0.4857142857142857,85

