,headcount_s.csv,2014-06-29T14:36:40-07:00
44. What is the best length for a written (print or PDF) customer story or case study? (select one)
Single
One page,0.53125,119
Two pages,0.3125,70
Three or four pages,0.13392857142857142,30
More than four pages,0.022321428571428572,5

45. What is the best length for a video customer story or case study? (select one)
Single
Less than two minutes,0.2544642857142857,57
Two or three minutes,0.46875,105
Four or five minutes,0.24107142857142858,54
More than five minutes,0.03571428571428571,8

"46. In general, how important to you are white papers when you are considering buying a new product or service for your business? (select one)"
Single
Very important,0.09049773755656108,20
Important,0.26244343891402716,58
Somewhat important,0.3665158371040724,81
Not at all important,0.28054298642533937,62

47. How often do you read white papers when you are considering buying a new product or service for your business? (select one)
Single
Always,0.08597285067873303,19
Most of the time,0.19909502262443438,44
Sometimes,0.3574660633484163,79
Rarely,0.19909502262443438,44
Never,0.1583710407239819,35

"48. On a scale of 1 (not at all important) to 5 (very important), how important are white papers when you are considering a product or service from vendors in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.2237442922374429,49
"Business travel: airlines, hotels, rental cars etc.",0.1780821917808219,39
Cellphone / smartphone; cellphone service,0.17727272727272728,39
Credit cards,0.2,44
Employee recruiting services / temp agencies,0.1409090909090909,31
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.2409090909090909,53
Internet access providers / website hosts,0.2146118721461187,47
Local technology solution providers,0.2191780821917808,48
"Marketing services (e.g., online advertising, email / social media marketing)",0.19457013574660634,43
Office supply stores / print centers,0.15454545454545454,34
Overnight package delivery companies,0.14220183486238533,31
Payroll service providers,0.18636363636363637,41
"Phone (i.e., non-cellphone) company/ies",0.1917808219178082,42
Retirement plan providers,0.25229357798165136,55
"Social media companies (e.g., Facebook, Google+, LinkedIn, Twitter)",0.0867579908675799,19
Software companies,0.2420091324200913,53
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.2909090909090909,64

"49. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to access white papers."
TopTwo
Find online via search,0.45,99
On third-party sites or newsletters,0.2018348623853211,44
On vendor’s Facebook page,0.0871559633027523,19
On vendor’s Google page,0.05454545454545454,12
On vendor’s LinkedIn page or group,0.08796296296296297,19
On vendor’s Twitter feed,0.03686635944700461,8
On vendor’s website,0.41363636363636364,91
On vendor’s YouTube channel,0.12385321100917432,27
Via email from vendor,0.3348623853211009,73
Via text message from vendor,0.11467889908256881,25

50. What is the best length for a white paper? (select one)
Single
Two to three pages,0.8356164383561644,183
Four to six pages,0.1552511415525114,34
More than six pages,0.0091324200913242,2

"51. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a white paper is to you."
TopTwo
"It includes or links to relevant videos, interactive elements or other information",0.33181818181818185,73
"It is focused on a business challenge I am facing, such as increasing sales or managing IT",0.4794520547945205,105
It is non-promotional,0.45701357466063347,101
It provides data from a relevant survey,0.5045454545454545,111
It provides examples of users who have tried the product or service,0.4931506849315068,108
It provides technical detail on the product or service I am interested in,0.5136363636363637,113
It is rated highly by previous viewers,0.3317972350230415,72
It is recommended by a peer / colleague,0.497737556561086,110
It is well-designed and easy to read,0.5954545454545455,131
It is written by a subject matter expert from the sponsoring company,0.3623853211009174,79
It is written by a third-party subject matter expert,0.34101382488479265,74

"52. In general, how important to you are webcasts when you are considering buying a new product or service for your business? (select one)"
Single
Very important,0.0779816513761468,17
Important,0.13761467889908258,30
Somewhat important,0.3256880733944954,71
Not at all important,0.45871559633027525,100

53. How often do you view webcasts when you are considering buying a new product or service for your business? (select one)
Single
Always,0.04524886877828054,10
Most of the time,0.10407239819004525,23
Sometimes,0.2850678733031674,63
Rarely,0.28054298642533937,62
Never,0.2850678733031674,63

"54. On a scale of 1 (not at all important) to 5 (very important), how important are webcasts when you are considering a product or service from vendors in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.11926605504587157,26
"Business travel: airlines, hotels, rental cars etc.",0.1780821917808219,39
Cellphone / smartphone; cellphone service,0.18099547511312217,40
Credit cards,0.1187214611872146,26
Employee recruiting services / temp agencies,0.1232876712328767,27
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.14545454545454545,32
Internet access providers / website hosts,0.182648401826484,40
Local technology solution providers,0.18981481481481483,41
"Marketing services (e.g., online advertising, email / social media marketing)",0.16289592760180996,36
Office supply stores / print centers,0.14479638009049775,32
Overnight package delivery companies,0.12272727272727273,27
Payroll service providers,0.09090909090909091,20
"Phone (i.e., non-cellphone) company/ies",0.1324200913242009,29
Retirement plan providers,0.17050691244239632,37
"Social media companies (e.g., Facebook, Google+, LinkedIn, Twitter)",0.0867579908675799,19
Software companies,0.17050691244239632,37
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.2054794520547945,45

"55. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to learn about webcasts."
TopTwo
Find online via search,0.40540540540540543,90
On third-party sites or newsletters,0.19444444444444445,42
On vendor’s Facebook page,0.0730593607305936,16
On vendor’s Google page,0.05429864253393665,12
On vendor’s LinkedIn page or group,0.08144796380090498,18
On vendor’s Twitter feed,0.04054054054054054,9
On vendor’s website,0.3755656108597285,83
On vendor’s YouTube channel,0.14027149321266968,31
Via email from vendor,0.2850678733031674,63
Via text message from vendor,0.09545454545454546,21

56. What is the best length for a webcast? (select one)
Single
No more than 15 minutes,0.7601809954751131,168
15 to 30 minutes,0.21266968325791855,47
30 to 45 minutes,0.01809954751131222,4
45 minutes to an hour,0.00904977375565611,2

"57. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a webcast is to you."
TopTwo
It features a company with the same kind of challenges I am facing,0.5248868778280543,116
It features an expert third-party presenter,0.36936936936936937,82
It features a senior executive from the sponsoring company,0.2590909090909091,57
It features a company in my industry,0.45662100456621,100
It focuses on a product or service I am interested in,0.6181818181818182,136
"It focused on a business challenge I am facing, such as increasing sales or managing IT",0.497737556561086,110
It is non-promotional,0.4318181818181818,95
It is rated highly by previous viewers,0.3438914027149321,76
It is recommended by a peer / colleague,0.5299539170506913,115

"58. On a scale of 1 (strongly disagree) to 5 (strongly agree), please rate each of these statements about buying technology solutions, such as hardware or software."
TopTwo
"I prefer to buy directly from a technology vendor, as opposed to a distributor or reseller (such as a technology consultant)",0.47058823529411764,104
"I am more likely to respond to a call, email or mailing from a technology vendor than from a distributor or reseller",0.3891402714932127,86
Buying from a distributor or reseller makes the sales process take longer,0.2850678733031674,63
Buying from a distributor or reseller increases the total solution cost,0.45045045045045046,100
Buying from a distributor or reseller gets me a solution that is better tailored to my needs than I would get if I bought directly from a vendor,0.23873873873873874,53
Buying from a distributor or reseller negatively affects my perception of the vendor’s brand,0.13452914798206278,30
"There are technology solutions, such as cloud-based applications, that I would prefer to buy directly from a vendor",0.36363636363636365,80

"59.1 Please indicate which technology solutions you would prefer to buy directly from a vendor, and which you would prefer to buy from a distributor or reseller.::Cloud-based applications / services"
Subquestion
From vendor,0.8883720930232558,191
From a reseller,0.11162790697674418,24

"59.2 Please indicate which technology solutions you...::Networking equipment (e.g., switches, hubs)"
Subquestion
From vendor,0.7162790697674418,154
From a reseller,0.2837209302325581,61

59.3 Please indicate which technology solutions you...::Phone systems
Subquestion
From vendor,0.7557603686635944,164
From a reseller,0.24423963133640553,53

59.4 Please indicate which technology solutions you...::PCs / laptops / workstations
Subquestion
From vendor,0.7123287671232876,156
From a reseller,0.2876712328767123,63

59.5 Please indicate which technology solutions you...::Printers
Subquestion
From vendor,0.6527777777777778,141
From a reseller,0.3472222222222222,75

59.6 Please indicate which technology solutions you...::Security solutions
Subquestion
From vendor,0.8394495412844036,183
From a reseller,0.16055045871559634,35

59.7 Please indicate which technology solutions you...::Servers / storage
Subquestion
From vendor,0.8093023255813954,174
From a reseller,0.19069767441860466,41

59.8 Please indicate which technology solutions you...::Tablets
Subquestion
From vendor,0.6495327102803738,139
From a reseller,0.35046728971962615,75

"61. On a scale of 1 (very unfavorable) to 5 (very favorable), how do you feel about each of these brands?"
TopTwo
American Express OPEN,0.34080717488789236,76
Apple,0.6098654708520179,136
AT&T,0.40540540540540543,90
Bank of America,0.22624434389140272,50
Cablevision,0.13122171945701358,29
Capital One,0.3004484304932735,67
CenturyLink,0.13392857142857142,30
Charles Schwab,0.32882882882882886,73
Charter Communications,0.10714285714285714,24
Chase Bank,0.42152466367713004,94
Cisco,0.365296803652968,80
Citibank,0.3153153153153153,70
Comcast,0.22869955156950672,51
Cox,0.08558558558558559,19
Dell,0.4798206278026906,107
Facebook,0.33183856502242154,74
FedEx,0.6502242152466368,145
Fidelity Investments,0.34080717488789236,76
Google,0.581081081081081,129
HP,0.5892857142857143,132
IBM,0.497737556561086,110
Intuit,0.43891402714932126,97
Lenovo,0.2825112107623318,63
LinkedIn,0.28378378378378377,63
Microsoft,0.6396396396396397,142
Office Depot,0.5045454545454545,111
OfficeMax,0.4479638009049774,99
Oracle,0.3456221198156682,75
Salesforce.com,0.08181818181818182,18
Sam’s Club,0.336322869955157,75
Sony,0.6053811659192825,135
Sprint,0.28054298642533937,62
Staples,0.47767857142857145,107
Symantec,0.2909090909090909,64
Twitter,0.1583710407239819,35
UPS,0.6470588235294118,143
U.S. Bank,0.2171945701357466,48
Verizon,0.45739910313901344,102
Wells Fargo,0.34841628959276016,77

