,gender_f.csv,2014-06-29T14:36:40-07:00
Important,0.2886178861788618,71
Somewhat important,0.27235772357723576,67
Not at all important,0.17886178861788618,44

47. How often do you read white papers when you are considering buying a new product or service for your business? (select one)
Single
Always,0.24081632653061225,59
Most of the time,0.2816326530612245,69
Sometimes,0.24897959183673468,61
Rarely,0.12653061224489795,31
Never,0.10204081632653061,25

"48. On a scale of 1 (not at all important) to 5 (very important), how important are white papers when you are considering a product or service from vendors in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.4583333333333333,110
"Business travel: airlines, hotels, rental cars etc.",0.4083333333333333,98
Cellphone / smartphone; cellphone service,0.40082644628099173,97
Credit cards,0.4351464435146444,104
Employee recruiting services / temp agencies,0.4041666666666667,97
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.459915611814346,109
Internet access providers / website hosts,0.4050632911392405,96
Local technology solution providers,0.4297872340425532,101
"Marketing services (e.g., online advertising, email / social media marketing)",0.43037974683544306,102
Office supply stores / print centers,0.3697478991596639,88
Overnight package delivery companies,0.40336134453781514,96
Payroll service providers,0.42857142857142855,102
"Phone (i.e., non-cellphone) company/ies",0.423728813559322,100
Retirement plan providers,0.4700854700854701,110
"Social media companies (e.g., Facebook, Google , LinkedIn, Twitter)",0.3008474576271186,71
Software companies,0.4533898305084746,107
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.5,118

"49. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to access white papers."
TopTwo
Find online via search,0.5958333333333333,143
On third-party sites or newsletters,0.3855932203389831,91
On vendor’s Facebook page,0.3153526970954357,76
On vendor’s Google  page,0.2946058091286307,71
On vendor’s LinkedIn page or group,0.3138075313807531,75
On vendor’s Twitter feed,0.2765957446808511,65
On vendor’s website,0.5899581589958159,141
On vendor’s YouTube channel,0.3389830508474576,80
Via email from vendor,0.5,117
Via text message from vendor,0.3347457627118644,79

50. What is the best length for a white paper? (select one)
Single
Two to three pages,0.7291666666666666,175
Four to six pages,0.22083333333333333,53
More than six pages,0.05,12

"51. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a white paper is to you."
TopTwo
"It includes or links to relevant videos, interactive elements or other information",0.48760330578512395,118
"It is focused on a business challenge I am facing, such as increasing sales or managing IT",0.5850622406639004,141
It is non-promotional,0.5909090909090909,143
It provides data from a relevant survey,0.6291666666666667,151
It provides examples of users who have tried the product or service,0.6092436974789915,145
It provides technical detail on the product or service I am interested in,0.6092436974789915,145
It is rated highly by previous viewers,0.5063829787234042,119
It is recommended by a peer / colleague,0.6329113924050633,150
It is well-designed and easy to read,0.702928870292887,168
It is written by a subject matter expert from the sponsoring company,0.5319148936170213,125
It is written by a third-party subject matter expert,0.48936170212765956,115

"52. In general, how important to you are webcasts when you are considering buying a new product or service for your business? (select one)"
Single
Very important,0.25925925925925924,63
Important,0.23045267489711935,56
Somewhat important,0.2222222222222222,54
Not at all important,0.2880658436213992,70

53. How often do you view webcasts when you are considering buying a new product or service for your business? (select one)
Single
Always,0.20081967213114754,49
Most of the time,0.21721311475409835,53
Sometimes,0.22540983606557377,55
Rarely,0.1557377049180328,38
Never,0.20081967213114754,49

"54. On a scale of 1 (not at all important) to 5 (very important), how important are webcasts when you are considering a product or service from vendors in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.35833333333333334,86
"Business travel: airlines, hotels, rental cars etc.",0.36401673640167365,87
Cellphone / smartphone; cellphone service,0.39748953974895396,95
Credit cards,0.3541666666666667,85
Employee recruiting services / temp agencies,0.35,84
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.3855932203389831,91
Internet access providers / website hosts,0.423728813559322,100
Local technology solution providers,0.41025641025641024,96
"Marketing services (e.g., online advertising, email / social media marketing)",0.4025423728813559,95
Office supply stores / print centers,0.3813559322033898,90
Overnight package delivery companies,0.3728813559322034,88
Payroll service providers,0.34893617021276596,82
"Phone (i.e., non-cellphone) company/ies",0.37446808510638296,88
Retirement plan providers,0.4,94
"Social media companies (e.g., Facebook, Google , LinkedIn, Twitter)",0.3191489361702128,75
Software companies,0.3948497854077253,92
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.4,94

"55. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to learn about webcasts."
TopTwo
Find online via search,0.5523012552301255,132
On third-party sites or newsletters,0.42127659574468085,99
On vendor’s Facebook page,0.32217573221757323,77
On vendor’s Google  page,0.30833333333333335,74
On vendor’s LinkedIn page or group,0.3375,81
On vendor’s Twitter feed,0.2689075630252101,64
On vendor’s website,0.5191489361702127,122
On vendor’s YouTube channel,0.3459915611814346,82
Via email from vendor,0.4788135593220339,113
Via text message from vendor,0.3333333333333333,78

56. What is the best length for a webcast? (select one)
Single
No more than 15 minutes,0.6141078838174274,148
15 to 30 minutes,0.2697095435684647,65
30 to 45 minutes,0.07468879668049792,18
45 minutes to an hour,0.04149377593360996,10

"57. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a webcast is to you."
TopTwo
It features a company with the same kind of challenges I am facing,0.6118143459915611,145
It features an expert third-party presenter,0.5,120
It features a senior executive from the sponsoring company,0.43037974683544306,102
It features a company in my industry,0.5864978902953587,139
It focuses on a product or service I am interested in,0.6974789915966386,166
"It focused on a business challenge I am facing, such as increasing sales or managing IT",0.6271186440677966,148
It is non-promotional,0.5677966101694916,134
It is rated highly by previous viewers,0.538135593220339,127
It is recommended by a peer / colleague,0.6538461538461539,153

"58. On a scale of 1 (strongly disagree) to 5 (strongly agree), please rate each of these statements about buying technology solutions, such as hardware or software."
TopTwo
"I prefer to buy directly from a technology vendor, as opposed to a distributor or reseller (such as a technology consultant)",0.5840336134453782,139
"I am more likely to respond to a call, email or mailing from a technology vendor than from a distributor or reseller",0.5439330543933054,130
Buying from a distributor or reseller makes the sales process take longer,0.4769874476987448,114
Buying from a distributor or reseller increases the total solution cost,0.5840336134453782,139
Buying from a distributor or reseller gets me a solution that is better tailored to my needs than I would get if I bought directly from a vendor,0.45,108
Buying from a distributor or reseller negatively affects my perception of the vendor’s brand,0.3474576271186441,82
"There are technology solutions, such as cloud-based applications, that I would prefer to buy directly from a vendor",0.5361702127659574,126

"59.1 Please indicate which technology solutions you would prefer to buy directly from a vendor, and which you would prefer to buy from a distributor or reseller.::Cloud-based applications / services"
Subquestion
From vendor,0.851063829787234,200
From a reseller,0.14893617021276595,35

"59.2 Please indicate which technology solutions you...::Networking equipment (e.g., switches, hubs)"
Subquestion
From vendor,0.7167381974248928,167
From a reseller,0.2832618025751073,66

59.3 Please indicate which technology solutions you...::Phone systems
Subquestion
From vendor,0.75,174
From a reseller,0.25,58

59.4 Please indicate which technology solutions you...::PCs / laptops / workstations
Subquestion
From vendor,0.6995708154506438,163
From a reseller,0.30042918454935624,70

59.5 Please indicate which technology solutions you...::Printers
Subquestion
From vendor,0.6666666666666666,154
From a reseller,0.3333333333333333,77

59.6 Please indicate which technology solutions you...::Security solutions
Subquestion
From vendor,0.7844827586206896,182
From a reseller,0.21551724137931033,50

59.7 Please indicate which technology solutions you...::Servers / storage
Subquestion
From vendor,0.7801724137931034,181
From a reseller,0.21982758620689655,51

59.8 Please indicate which technology solutions you...::Tablets
Subquestion
From vendor,0.6343612334801763,144
From a reseller,0.3656387665198238,83

"61. On a scale of 1 (very unfavorable) to 5 (very favorable), how do you feel about each of these brands?"
TopTwo
American Express OPEN,0.45867768595041325,111
Apple,0.6929460580912863,167
AT&T,0.5062761506276151,121
Bank of America,0.3723849372384937,89
Cablevision,0.27310924369747897,65
Capital One,0.4100418410041841,98
CenturyLink,0.29411764705882354,70
Charles Schwab,0.4872881355932203,115
Charter Communications,0.2815126050420168,67
Chase Bank,0.5654008438818565,134
Cisco,0.4851063829787234,114
Citibank,0.46638655462184875,111
Comcast,0.36554621848739494,87
Cox,0.26382978723404255,62
Dell,0.5336134453781513,127
Facebook,0.4810126582278481,114
FedEx,0.7136929460580913,172
Fidelity Investments,0.461864406779661,109
Google,0.6455696202531646,153
HP,0.6553191489361702,154
IBM,0.5536480686695279,129
Intuit,0.5319148936170213,125
Lenovo,0.4017094017094017,94
LinkedIn,0.42016806722689076,100
Microsoft,0.6764705882352942,161
Office Depot,0.5815899581589958,139
OfficeMax,0.576271186440678,136
Oracle,0.49145299145299143,115
Salesforce.com,0.3347457627118644,79
Sam’s Club,0.502127659574468,118
Sony,0.6835443037974683,162
Sprint,0.4025423728813559,95
Staples,0.5508474576271186,130
Symantec,0.38961038961038963,90
Twitter,0.3601694915254237,85
UPS,0.6781115879828327,158
U.S. Bank,0.38362068965517243,89
Verizon,0.5555555555555556,130
Wells Fargo,0.4829059829059829,113

