,businessage_m.csv,2014-06-29T14:36:40-07:00
44. What is the best length for a written (print or PDF) customer story or case study? (select one)
Single
One page,0.4195804195804196,60
Two pages,0.35664335664335667,51
Three or four pages,0.17482517482517482,25
More than four pages,0.04895104895104895,7

45. What is the best length for a video customer story or case study? (select one)
Single
Less than two minutes,0.23076923076923078,33
Two or three minutes,0.46153846153846156,66
Four or five minutes,0.23776223776223776,34
More than five minutes,0.06993006993006994,10

"46. In general, how important to you are white papers when you are considering buying a new product or service for your business? (select one)"
Single
Very important,0.2708333333333333,39
Important,0.3958333333333333,57
Somewhat important,0.20833333333333334,30
Not at all important,0.125,18

47. How often do you read white papers when you are considering buying a new product or service for your business? (select one)
Single
Always,0.2222222222222222,32
Most of the time,0.4097222222222222,59
Sometimes,0.2013888888888889,29
Rarely,0.09722222222222222,14
Never,0.06944444444444445,10

"48. On a scale of 1 (not at all important) to 5 (very important), how important are white papers when you are considering a product or service from vendors in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.4859154929577465,69
"Business travel: airlines, hotels, rental cars etc.",0.46808510638297873,66
Cellphone / smartphone; cellphone service,0.4722222222222222,68
Credit cards,0.46808510638297873,66
Employee recruiting services / temp agencies,0.44285714285714284,62
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.5323741007194245,74
Internet access providers / website hosts,0.4357142857142857,61
Local technology solution providers,0.4927536231884058,68
"Marketing services (e.g., online advertising, email / social media marketing)",0.45390070921985815,64
Office supply stores / print centers,0.45,63
Overnight package delivery companies,0.4244604316546763,59
Payroll service providers,0.49645390070921985,70
"Phone (i.e., non-cellphone) company/ies",0.43884892086330934,61
Retirement plan providers,0.5251798561151079,73
"Social media companies (e.g., Facebook, Google , LinkedIn, Twitter)",0.381294964028777,53
Software companies,0.5179856115107914,72
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.5955882352941176,81

"49. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to access white papers."
TopTwo
Find online via search,0.647887323943662,92
On third-party sites or newsletters,0.5357142857142857,75
On vendor’s Facebook page,0.4397163120567376,62
On vendor’s Google  page,0.4014084507042254,57
On vendor’s LinkedIn page or group,0.45323741007194246,63
On vendor’s Twitter feed,0.38571428571428573,54
On vendor’s website,0.5774647887323944,82
On vendor’s YouTube channel,0.43884892086330934,61
Via email from vendor,0.5683453237410072,79
Via text message from vendor,0.4748201438848921,66

50. What is the best length for a white paper? (select one)
Single
Two to three pages,0.6428571428571429,90
Four to six pages,0.30714285714285716,43
More than six pages,0.05,7

"51. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a white paper is to you."
TopTwo
"It includes or links to relevant videos, interactive elements or other information",0.5104895104895105,73
"It is focused on a business challenge I am facing, such as increasing sales or managing IT",0.6293706293706294,90
It is non-promotional,0.5845070422535211,83
It provides data from a relevant survey,0.6666666666666666,94
It provides examples of users who have tried the product or service,0.65,91
It provides technical detail on the product or service I am interested in,0.6595744680851063,93
It is rated highly by previous viewers,0.5217391304347826,72
It is recommended by a peer / colleague,0.5971223021582733,83
It is well-designed and easy to read,0.6549295774647887,93
It is written by a subject matter expert from the sponsoring company,0.572463768115942,79
It is written by a third-party subject matter expert,0.583941605839416,80

"52. In general, how important to you are webcasts when you are considering buying a new product or service for your business? (select one)"
Single
Very important,0.3055555555555556,44
Important,0.2916666666666667,42
Somewhat important,0.20833333333333334,30
Not at all important,0.19444444444444445,28

53. How often do you view webcasts when you are considering buying a new product or service for your business? (select one)
Single
Always,0.2097902097902098,30
Most of the time,0.3356643356643357,48
Sometimes,0.20279720279720279,29
Rarely,0.1258741258741259,18
Never,0.1258741258741259,18

"54. On a scale of 1 (not at all important) to 5 (very important), how important are webcasts when you are considering a product or service from vendors in each of these categories:"
TopTwo
"Banks (e.g., checking accounts, loans, online payments)",0.3916083916083916,56
"Business travel: airlines, hotels, rental cars etc.",0.44285714285714284,62
Cellphone / smartphone; cellphone service,0.4084507042253521,58
Credit cards,0.44366197183098594,63
Employee recruiting services / temp agencies,0.4225352112676056,60
"Insurance companies (e.g., business insurance; employee life and health insurance)",0.4225352112676056,60
Internet access providers / website hosts,0.4316546762589928,60
Local technology solution providers,0.49640287769784175,69
"Marketing services (e.g., online advertising, email / social media marketing)",0.425531914893617,60
Office supply stores / print centers,0.41843971631205673,59
Overnight package delivery companies,0.4142857142857143,58
Payroll service providers,0.41007194244604317,57
"Phone (i.e., non-cellphone) company/ies",0.427536231884058,59
Retirement plan providers,0.42028985507246375,58
"Social media companies (e.g., Facebook, Google , LinkedIn, Twitter)",0.36231884057971014,50
Software companies,0.5217391304347826,72
"Technology hardware (i.e., PCs, printers, servers) manufacturers",0.5179856115107914,72

"55. On a scale of 1 (do not like) to 5 (like very much), please rate how much you like each of these ways to learn about webcasts."
TopTwo
Find online via search,0.5734265734265734,82
On third-party sites or newsletters,0.48201438848920863,67
On vendor’s Facebook page,0.36879432624113473,52
On vendor’s Google  page,0.3829787234042553,54
On vendor’s LinkedIn page or group,0.3958333333333333,57
On vendor’s Twitter feed,0.34265734265734266,49
On vendor’s website,0.5460992907801419,77
On vendor’s YouTube channel,0.47183098591549294,67
Via email from vendor,0.5774647887323944,82
Via text message from vendor,0.44285714285714284,62

56. What is the best length for a webcast? (select one)
Single
No more than 15 minutes,0.475177304964539,67
15 to 30 minutes,0.3333333333333333,47
30 to 45 minutes,0.16312056737588654,23
45 minutes to an hour,0.028368794326241134,4

"57. On a scale of 1 (not at all important) to 5 (very important), please rate how important each of these aspects of a webcast is to you."
TopTwo
It features a company with the same kind of challenges I am facing,0.5673758865248227,80
It features an expert third-party presenter,0.5524475524475524,79
It features a senior executive from the sponsoring company,0.5070422535211268,72
It features a company in my industry,0.5633802816901409,80
It focuses on a product or service I am interested in,0.6808510638297872,96
"It focused on a business challenge I am facing, such as increasing sales or managing IT",0.6666666666666666,94
It is non-promotional,0.574468085106383,81
It is rated highly by previous viewers,0.5815602836879432,82
It is recommended by a peer / colleague,0.6330935251798561,88

"58. On a scale of 1 (strongly disagree) to 5 (strongly agree), please rate each of these statements about buying technology solutions, such as hardware or software."
TopTwo
"I prefer to buy directly from a technology vendor, as opposed to a distributor or reseller (such as a technology consultant)",0.6408450704225352,91
"I am more likely to respond to a call, email or mailing from a technology vendor than from a distributor or reseller",0.5774647887323944,82
Buying from a distributor or reseller makes the sales process take longer,0.5384615384615384,77
Buying from a distributor or reseller increases the total solution cost,0.6402877697841727,89
Buying from a distributor or reseller gets me a solution that is better tailored to my needs than I would get if I bought directly from a vendor,0.4788732394366197,68
Buying from a distributor or reseller negatively affects my perception of the vendor’s brand,0.4014084507042254,57
"There are technology solutions, such as cloud-based applications, that I would prefer to buy directly from a vendor",0.6099290780141844,86

"59.1 Please indicate which technology solutions you would prefer to buy directly from a vendor, and which you would prefer to buy from a distributor or reseller.::Cloud-based applications / services"
Subquestion
From vendor,0.8088235294117647,110
From a reseller,0.19117647058823528,26

"59.2 Please indicate which technology solutions you...::Networking equipment (e.g., switches, hubs)"
Subquestion
From vendor,0.717391304347826,99
From a reseller,0.2826086956521739,39

59.3 Please indicate which technology solutions you...::Phone systems
Subquestion
From vendor,0.6616541353383458,88
From a reseller,0.3383458646616541,45

59.4 Please indicate which technology solutions you...::PCs / laptops / workstations
Subquestion
From vendor,0.6231884057971014,86
From a reseller,0.37681159420289856,52

59.5 Please indicate which technology solutions you...::Printers
Subquestion
From vendor,0.5735294117647058,78
From a reseller,0.4264705882352941,58

59.6 Please indicate which technology solutions you...::Security solutions
Subquestion
From vendor,0.6838235294117647,93
From a reseller,0.3161764705882353,43

59.7 Please indicate which technology solutions you...::Servers / storage
Subquestion
From vendor,0.7720588235294118,105
From a reseller,0.22794117647058823,31

59.8 Please indicate which technology solutions you...::Tablets
Subquestion
From vendor,0.6029411764705882,82
From a reseller,0.39705882352941174,54

"61. On a scale of 1 (very unfavorable) to 5 (very favorable), how do you feel about each of these brands?"
TopTwo
American Express OPEN,0.5524475524475524,79
Apple,0.6993006993006993,100
AT&T,0.5857142857142857,82
Bank of America,0.5,71
Cablevision,0.39436619718309857,56
Capital One,0.5785714285714286,81
CenturyLink,0.4154929577464789,59
Charles Schwab,0.5035460992907801,71
Charter Communications,0.3971631205673759,56
Chase Bank,0.624113475177305,88
Cisco,0.5602836879432624,79
Citibank,0.46808510638297873,66
Comcast,0.40559440559440557,58
Cox,0.34532374100719426,48
Dell,0.6223776223776224,89
Facebook,0.5070422535211268,72
FedEx,0.7272727272727273,104
Fidelity Investments,0.5214285714285715,73
Google,0.5886524822695035,83
HP,0.6857142857142857,96
IBM,0.6304347826086957,87
Intuit,0.6142857142857143,86
Lenovo,0.4855072463768116,67
LinkedIn,0.475177304964539,67
Microsoft,0.6258992805755396,87
Office Depot,0.5957446808510638,84
OfficeMax,0.5611510791366906,78
Oracle,0.5571428571428572,78
Salesforce.com,0.45323741007194246,63
Sam’s Club,0.5357142857142857,75
Sony,0.6619718309859155,94
Sprint,0.4857142857142857,68
Staples,0.5857142857142857,82
Symantec,0.5367647058823529,73
Twitter,0.45,63
UPS,0.7266187050359713,101
U.S. Bank,0.5323741007194245,74
Verizon,0.6187050359712231,86
Wells Fargo,0.5474452554744526,75

